GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer_service,com.example.customer_service,CustomerServiceApplication,0,8,0,0,0,3,0,2,0,2
customer_service,com.example.customer_service.security,JwtUtil,94,3,4,0,29,1,8,1,6,1
customer_service,com.example.customer_service.security,JwtRequestFilter,0,63,2,8,0,18,2,5,0,2
customer_service,com.example.customer_service.security,SecurityConfig,0,156,0,0,0,24,0,7,0,7
customer_service,com.example.customer_service.mapper,CustomerMapperInterfaceImpl,4,99,2,2,2,27,2,3,0,3
customer_service,com.example.customer_service.dto,AuthResponse,0,7,0,0,0,3,0,2,0,2
customer_service,com.example.customer_service.dto,AuthRequest,0,14,0,0,0,6,0,4,0,4
customer_service,com.example.customer_service.controller,CustomerController,12,360,0,68,3,70,1,42,1,8
customer_service,com.example.customer_service.controller,AuthController,0,46,0,0,0,12,0,3,0,3
customer_service,com.example.customer_service.config,KafkaProducerConfig,0,36,0,0,0,8,0,4,0,4
customer_service,com.example.customer_service.service.impl,CustomerServiceImpl,6,378,0,31,0,84,1,34,1,16
customer_service,com.example.customer_service.service.impl,CustomUserDetailsService,28,6,0,0,6,3,2,1,2,1
customer_service,com.example.customer_service.service.impl,KafkaProducerService,12,10,0,0,3,4,1,2,1,2
customer_service,com.example.customer_service.exception,GlobalExceptionHandler,111,3,0,0,22,1,5,1,5,1
customer_service,com.example.customer_service.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
customer_service,com.example.customer_service.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
